댓글 작성자,댓글 내용,댓글 작성 시간
신사임당,사우디 앉아서 꿀빠네,2024-09-30 14:30:53
누꼬,이란까지 청소하고 아프리카 쪽도 정리해라,2024-09-30 14:31:02
문재인,첨단 장비로 아직도 활이나 쏘는 원주민들 미사일로 학살 한것임,2024-09-30 14:31:02
Duke,속보) 중동에서 미국불참결정,2024-09-30 14:31:05
정욱 문,애초에 하마스 사건 부터가 의심스러움,2024-09-30 14:31:07
KorGuys, 미국은 겉으로만 말리는 척 하고 뒤로는 전적으로 지원하고 있는 중,2024-09-30 14:31:15
문재인,하마스가 정의다,2024-09-30 14:31:17
kyunghwan,"중국 댓글부대 실체 확인, 경찰 수사 돌입",2024-09-30 14:31:18
김태현 Tv ,이스라엘 뒤엔 미국이 있다 미국말도 안듣는 이스라엘 대단하다,2024-09-30 14:31:34
미스터쿤,여기 채팅창에 왜이렇게 거짓 선동뉴스가 판 치나요?,2024-09-30 14:31:37
문재인,헤즈볼라가 정의다 이스라엘은 침략자이자 사탄임,2024-09-30 14:31:38
이정훈,이란은 참전못하는게 이란지도자들만 난리임 정작 이란국민들은 대통령 헬기추락으로 죽어서 축제한 나라가 이란인데 무슨전쟁이고,2024-09-30 14:31:42
뽀율s,사우디는 지금 돈벌고 있을듯 한데 ㅎㅎ,2024-09-30 14:31:44
신사임당,미국돈줄 = 유댕니,2024-09-30 14:31:50
버기버기,중국인들 80%,2024-09-30 14:31:50
신사임당,유대인,2024-09-30 14:31:52
젤린오렌지,고작 초밥이냐?? 나는 법카로 호텔가고 싶다 1000만원짜리,2024-09-30 14:31:54
문재인,하마스 헤즈볼라. 한국으로 치면 일제시대 독립군들임,2024-09-30 14:32:02
kyunghwan,"겉으로는 말리는척 하지만 뒤로는 무기 다 대주고있습니다,,",2024-09-30 14:32:04
방구석판사TV,미쳐 날뛰네,2024-09-30 14:32:07
누꼬,하메이니만 제거하면 이란 민주화한다.,2024-09-30 14:32:16
김상기,이스라엘 때문에 러시아 ㅈ 됐네 우크라ㅓ이나도 러사어 본토까지 돌격하는거 아니냐? ㅋㅋㅋㅋ,2024-09-30 14:32:20
뽀율s,이란 대통령은 사단장한테 싸다구 맞음,2024-09-30 14:32:25
